x,y,z
52256.85,922,10752
57421.47,958,25000
55701.04,1116,16290
62666.83,1082,36130
53123.12,976,9878
60345.78,927,9848
62188.24,1220,11482
64299.08,1009,10530
48129.81,760,10088
54689.19,950,10818
58378.35,1044,14456
61134.14,1170,38705
60196.68,1164,30090
49477.45,988,8004
52093.19,1047,7974
47601.81,982,24800
48289.97,1024,7887
53049.11,1068,8172
57493.05,1046,26240
53799.09,1049,8457
52472.51,1011,7501
61604.19,1148,10892
70368.62,1158,30000
53143.24,1039,25360
61225.91,1105,30166
59163.95,989,21210
66979.13,1176,28624
47640.99,1068,8153
"48,448,100,526,480",0,
59528.63,1088,15000
57523.24,1052,32866
58823.6,1029,8903
60340.43,1031,8080
73395.81,1306,43224
55964.16,1087,8356
60752.93,1214,12436
48533.54,1050,8326
49227.15,1102,8011
59625.44,1026,23748
49705.55,960,22670
58820.27,1163,29190
76279.78,1498,44712
67136.19,1092,30830
49632.36,970,6892
74623.54,1165,36230
73627.32,1239,40198
72128.5,998,28160
54287.8,963,7976
71641.68,1055,24890
75912.69,1217,35800
56363.11,982,24218
57562.14,980,6202
59593.97,1030,24500
72476.33,1060,29800
59551.33,894,5780
68874.27,1154,8759
57117.25,786,14346
59715.43,963,27798
53474.77,974,8002
43910.56,905,6635
63985.71,1158,27900
51468.15,1018,20360
62566.96,1047,26100
52571.87,887,25763
57712.44,1002,8005
72891.36,1093,9730
52505.04,920,26148
35906.7,924,7292
57579.55,857,9745
77707.58,1482,42253
71197.81,1135,38720
71790.89,1103,30310
63900.24,997,7618
56236.53,1038,27160
82038.46,1330,48190
59789.49,949,19180
75446.44,1168,37560
60702.32,1001,7560
66830.13,1038,9348
57388.77,904,19916
40704.93,842,5927
55170.11,959,6630
45266.24,937,7700
67194.13,1212,10176
66876.51,1038,9208
72284.1,1297,9806
79361.13,1265,10864
46777.52,933,7259
53622.93,1059,7312
76266.48,1220,40720
65468.32,1006,27900
47475.29,965,5250
63798.29,1043,7447
53781.71,817,8726
65284.89,1134,8028
62890.39,1003,24454
69739.2,941,6948
78650.29,1294,37856
51385.91,971,7041
64914.81,1290,5150
69190.39,1098,5100
55546.63,1078,6300
60534.36,1084,7260
69474.52,1130,8197
70649.66,1124,31528
61392.97,959,11282
72226.81,1156,37536
60809.44,975,11018
58494.41,937,11018
77169.17,1383,47828
60680.57,894,23260
74257.05,1211,16768
58009.31,913,30900
65460.25,1034,31480
83534.79,1353,19372
64029.38,1051,16478
79798.8,1155,12526
53554.3,980,30900
